ID,Label,Type
VD18_12388920-004,"Joh. Wolffgang Triers kurtze Fragen von den menschlichen Neigungen. darinnen von deren Ursprung und Würckungen auf eine besondere Art gehan (1707)",Buch
gnd_104043806,"Trier, Johann Wolfgang",Person
Gleditsch,Gleditsch,Druckende_Verlegende
Leipzig,Leipzig,Ort
VD18_10239014-003,"Das grosse Dessein des Louis von Baaden. Welches Er An seinem Sterbe-Tage den 4. Januarii dieses 1707. Jahres glücklich hinaus geführt. in (1707)",Buch
Rastatt,Rastatt,Ort
K10plus_151605971,"L'Usage Du Monde Ou Le Parfait Modele D'Un Honneste Homme (1707)",Buch
gnd_120006294,"Goussault, Jacques",Person
"Brunet & Rigaut","Brunet & Rigaut",Druckende_Verlegende
Leonard,Leonard,Druckende_Verlegende
Paris,Paris,Ort
Bruxelles,Bruxelles,Ort
VD18_14373211-005,"Warhafftige Abbildung Aller itzo im Krieg begriffenen Hohen Potentaten und dero Generals. Durch Beibringung verschiedener aus Betrachtung de (1707)",Buch
Marteau,Marteau,Druckende_Verlegende
Cöln,Cöln,Ort
K10plus_14680340X,"Histoire du Vieux et du Nouveau Testament. enrichie de Figures .. etc. (1706)",Buch
gnd_120538253,"Basnage de Beauval, Jacques",Person
"Pierre Mortier","Pierre Mortier",Druckende_Verlegende
Amsterdam,Amsterdam,Ort
VD18_10885366-ddd,"Democritus und Heraclytus Uber den ietzigen Zustand der Cron Franckreich (1705)",Buch
[S.l.],[S.l.],Ort
Flugschrift,Flugschrift,Inhalt_Gattung
Satire,Satire,Inhalt_Gattung
K10plus_151033234,"Réflexions Ou Sentences Et Maximes Morales. De Monsieur De La Rochefoucault .. (1705)",Buch
gnd_118569775,"La Rochefoucauld, François",Person
Mortier,Mortier,Druckende_Verlegende
Amsterdam,Amsterdam,Ort
VD18_10885366-ddd,"Democritus Continuiret seine Conference Heraclyto Uber den Zustand der Cron Franckreich (1705)",Buch
[S.l.],[S.l.],Ort
Satire,Satire,Inhalt_Gattung
Flugschrift,Flugschrift,Inhalt_Gattung
VD18_11525770,"Instructions Secretes Des Jesuites. Suivant l'original (1704)",Buch
Sincere,Sincere,Druckende_Verlegende
gnd_4031483-2,Köln,Ort
Ordensliteratur:Jesuiten,Ordensliteratur:Jesuiten,Inhalt_Gattung
VD18_14580349,"Suite Des Mazarinischen Reverence (1704)",Buch
[S.l.],[S.l.],Ort
Flugschrift,Flugschrift,Inhalt_Gattung
Satire,Satire,Inhalt_Gattung
VD18_10093591,"Des Bischoffs von Münster Bernhard von Galen Schreiben, aus der andern Welt, An Ludwig XIV. König von Franckreich (1704)",Buch
[S.l.],[S.l.],Ort
Flugschrift,Flugschrift,Inhalt_Gattung
Satire,Satire,Inhalt_Gattung
Brief,Brief,Inhalt_Gattung
VD18_11086432,"Mazarini Abschieds-Compliment (1704)",Buch
[S.l.],[S.l.],Ort
Flugschrift,Flugschrift,Inhalt_Gattung
Satire,Satire,Inhalt_Gattung
K10plus_134957520,"Traité du mérite (1704)",Buch
gnd_1055126783,"Vassetz abbé",Person
Voys,Voys,Druckende_Verlegende
"La Haye","La Haye",Ort
VD18_12836362,"Freuden-Schild Wider die Traurigkeit. In allerhand küm[m]erlichen Zufällen auffgerichtet (1701)",Buch
gnd_12348796X,"Schweinitz, David",Person
Rohrlach,Rohrlach,Druckende_Verlegende
Ehrich,Ehrich,Druckende_Verlegende
"Frankfurt, Main","Frankfurt, Main",Ort
Leipzig,Leipzig,Ort
Jena,Jena,Ort
VD18_14611392-003,"Bouclier D'Estat Et De Justice, Contre le dessein de la France .. (1701)",Buch
gnd_11878014X,"Lisola, François Paul",Person
[S.l.],[S.l.],Ort
K10plus_136951821,"Instructions de l'empereur Charles V. à Philippe II. Roi d'Espagne et de Philippe II. au prince Philippe son fils. Mises en François par A (1700)",Buch
gnd_118560093,"Karl Heiliges Römisches Reich, Kaiser",Person
gnd_129426024,"Teissier, Antoine",Person
Dole,Dole,Druckende_Verlegende
"A la Haye","A la Haye",Ort
K10plus_135733421,"Histoire De Ferdinand-Alvarez De Tolede, Premier Du Nom, Duc D'Albe (1699)",Buch
gnd_137527616,"Osorio, Antonio",Person
Guignard,Guignard,Druckende_Verlegende
Paris,Paris,Ort
Biographie,Biographie,Inhalt_Gattung
K10plus_236361856,"Le triomphe de la deesse monas ou l'histoire du portrait de madame la princesse de Conti fille du roi (1698)",Buch
duVal,duVal,Druckende_Verlegende
Amsterdam,Amsterdam,Ort
K10plus_184827981,"Practicarum Observationum, tam ad processum iudiciarium, praesertim Imperialis Camerae, quam causarum decisionis pertinentium, libri 2. De P (1698)",Buch
gnd_11884296X,"Gail, Andreas",Person
gnd_124408389,"Gymnich, Walter",Person
Metternich,Metternich,Druckende_Verlegende
"Coloniae Agrippina","Coloniae Agrippina",Ort
K10plus_620058943,"Histoire Des Controverses Et Des Matieres Ecclesiastiques .. (1697)",Buch
gnd_100115993,"Du Pin, Louis Ellies",Person
Pralard,Pralard,Druckende_Verlegende
Paris,Paris,Ort
K10plus_149903561,"Traité de la dévotion. (1697)",Buch
gnd_118558900,"Jurieu, Pierre",Person
Troyel,Troyel,Druckende_Verlegende
"La Haye","La Haye",Ort
VD17_3:614050Y,"Suscitabulum Poenitentiae Catecheticum, Das ist: Catechetischer Buß-Wecker/ Oder Eine richtige Anweisung zu den wesentlichen Stücken der w (1696)",Buch
gnd_12348796X,"Schweinitz, David",Person
Schrey,Schrey,Druckende_Verlegende
Meyer,Meyer,Druckende_Verlegende
"Frankfurt, Oder","Frankfurt, Oder",Ort
K10plus_223556645,"Conduite pour se taire et pour parles principalement en matière de religion. suivant la copie imprimée à Paris (1696)",Buch
gnd_101503660,"Morvan de Bellegarde, Jean-Baptiste",Person
Broncart,Broncart,Druckende_Verlegende
Liege,Liege,Ort
K10plus_719560519,"Danielis Georgi[i] Morhofi[i] Polyhistor. Sive De Notitia Auctorum Et Rerum Commentarii [1] (1695)",Buch
gnd_118784919,"Morhof, Daniel Georg",Person
"Alefeld, Joachimus","Alefeld, Joachimus",Person
Böckmannus,Böckmannus,Druckende_Verlegende
Lübeck,Lübeck,Ort
K10plus_15086812X,"Penta-decas fidium cordialium .. Das Ist: Geistlicher Hertzens-Harffen von fünffmahl-zehen Seiten .. Theil (1694)",Buch
gnd_12348796X,"Schweinitz, David",Person
Fellgiebel,Fellgiebel,Druckende_Verlegende
Breßlau,Breßlau,Ort
K10plus_147204798,"Le Monde Enchanté Ou Examen des communs sentimens touchant les Esprits, leur nature, leur pouvoir, leur administration, & leurs opérations (1694)",Buch
gnd_119016915,"Bekker, Balthasar",Person
Rotterdam,Rotterdam,Druckende_Verlegende
Amsterdam,Amsterdam,Ort
VD17_7:694881V,"Novellen Aus Der gelehrten und curiösen Welt 1692 (1692)",Buch
gnd_104217650,"Zenner, Gottfried",Person
Boetius,Boetius,Druckende_Verlegende
Groschuff,Groschuff,Druckende_Verlegende
Frankfurt,Frankfurt,Ort
Gotha,Gotha,Ort
Leipzig,Leipzig,Ort
K10plus_150211236,"L' Art De Se Connoitre Soy-Meme, Ou La Recherche des Sources De la Morale (1692)",Buch
gnd_100002307,"Abbadie, Jacques",Person
Slaart,Slaart,Druckende_Verlegende
Rotterdam,Rotterdam,Ort
Traktat,Traktat,Inhalt_Gattung
K10plus_486368920,"Vocabolario degli Accademici della Crusca. In questa 3. impressione Nuovamente corr. e copiosamente accresciuto (1691)",Buch
"Stamp. d. Accademia della Crusca","Stamp. d. Accademia della Crusca",Druckende_Verlegende
Firenze,Firenze,Ort
K10plus_251813266,"Francisci Sanctii Minerva, Sive De Causis Latinæ linguæ Commentarius (1687)",Buch
gnd_118751123,"Sánchez de las Brozas, Francisco",Person
gnd_119298600,"Schoppe, Caspar",Person
gnd_119019914,"Perizonius, Jacobus",Person
Strickius,Strickius,Druckende_Verlegende
Franequera,Franequera,Ort
VD17_3:604602L,"L' Unico Mezzo, Che ci fà trovar la felicità in questo Mondo .. con brevità e Chiarezza si dimostra nel presente libretto, in todesco, fr (1685)",Buch
gnd_116400684,"Caffa, Karl",Person
Gollner,Gollner,Druckende_Verlegende
Jena,Jena,Ort
VD17_1:008798Z,"De Legibus Naturae Disquisitio Philosophica. In qua Earum Forma, Summa Capita, Ordo, Promulgatio, & Obligatio e rerum Natura investigantur ; (1683)",Buch
gnd_121534006,"Cumberland, Richard",Person
"Bridgeman, Orlandus","Bridgeman, Orlandus",Person
"Parker, Sam.","Parker, Sam.",Person
Otto,Otto,Druckende_Verlegende
Wiedemeyerus,Wiedemeyerus,Druckende_Verlegende
Lübeck,Lübeck,Ort
"Frankfurt, Main","Frankfurt, Main",Ort
K10plus_150019556,"Geographia ordine litterarum disposita (1681)",Buch
gnd_124639089,"Baudrand, Michel-Antoine",Person
Michalet,Michalet,Druckende_Verlegende
Parisiis,Parisiis,Ort
K10plus_151714266,"Examen ratiociniorum Danicorum super naufragio militum Suecicorum ad Bornholmiam, eorundemque detentione (1680)",Buch
[S.l.],[S.l.],Ort
VD17_1:072956R,"Iulii Sperberi, C. Kabalisticae precationes, Das ist: Außerlesene schöne Gebet/ so aus der H. Schrifft und vornembsten Psalmen des Königl (1675)",Buch
gnd_128616385,"Sperber, Julius",Person
Betkius,Betkius,Druckende_Verlegende
"Frankfurt, Main","Frankfurt, Main",Ort
Amsterdam,Amsterdam,Ort
Gebetbuch,Gebetbuch,Inhalt_Gattung
K10plus_369886046,"Henrici Glareani In Cornelii Taciti de situ .. Germaniae libellum commentariolus (1673)",Buch
gnd_11905339X,"Glareanus, Henricus Loriti",Person
gnd_117106178,"Schardius, Simon",Person
