Name,Latitude,Longitude
Friedberg_Hessen,50.35,8.766667
Friedeburg,53.45,7.833333
Friedland,51.416667,9.933333
Friedrichswalde,53.033333,13.716667
Fritzlar,51.133333,9.283333
Fuerstenfeldbruck,48.183333,11.25
Fuerstenwalde,52.366667,14.066667
Fuerth,49.466667,10.966667
Fulda,50.55,9.666667
Fuscaldo,39.416667,16.033333
Gaeta,41.2,13.583333
Gambsheim,48.691832,7.884563
Gamsen,52.5,10.55
Garda,45.566667,10.7
Gardelegen,52.533333,11.366667
Gartz,53.2,14.383333
Garz,52.85,12.633333
Gebhardshagen,52.1,10.35
Geisa,50.716667,9.966667
Geislingen_an_der_Steige,48.95,10.416667
Gelnhausen,50.2,9.183333
Georgensgmuend,49.189722,11.016667
Gera,50.866667,12.083333
Germersheim,49.223056,8.363889
Gernsheim,49.76,8.495833
Gersthofen,48.416667,10.883333
Giarre,37.716667,15.183333
Gieseritz,52.783333,11.016667
Giessen,47.633333,9.6
Gifhorn,52.483333,10.55
Gilserberg,50.95,9.066667
Gingen_an_der_Fils,48.65,9.783333
Gioia_Tauro,38.416667,15.9
Glandorf,52.083333,8.016667
Glueckstadt,53.783333,9.416667
Gnandstein,51.016667,12.55
Gnoelbzig,51.666667,11.733333
Godau,54.116667,10.383333
Godern,53.616667,11.55
Goehr,52.9,10.883333
Goehrde,53.15,10.883333
Goeppingen,48.7,9.666667
Goettingen,51.533333,9.933333
Goldberg,53.583333,12.083333
Goleniow_Gollnow,53.563611,14.828056
Goltoft,54.55,9.716667
Gonna,51.5,11.316667
Goslar,51.9,10.433333
Gozo,36.05,14.25
Graben-Neudorf,49.170278,8.487778
Grabow,53.266667,12.166667
Grasten,54.9167,9.6167
Gravesend,51.433333,.366667
Grebenstein,51.45,9.416667
Greenwich,51.4833,0
Greussen,51.216667,10.95
Gristow,54.166667,13.333333
Groeningen,51.933333,11.216667
Gross_Denkte,52.15,10.616667
Gross_Eilstorf,52.816667,9.45
Gross_Muehlingen,51.95,11.7
Gross_Muetzelburg,53.645000,14.298400
Gross_Sarau,53.766667,10.733333
Grossen_Linden,50.5333,8.65
Grossenbehringen,51.033333,10.516667
Grossenhain,51.283333,13.55
Grotta_del_Cane,40.833333,14.166667
Gryfice_Greifenberg,53.916111,15.199722
Guardia_Piemontese,39.466667,16
Gudensberg,51.183333,9.366667
Gudow,53.55,10.783333
Guemse,,
Guenstedt,51.216667,11.066667
Guenzburg,48.45,10.266667
Guenzlhofen,48.25,11.15
Guestrow,53.8,12.166667
Guetzkow,53.95,13.416667
Gumtow,52.983333,12.25
Guntersdorf,48.65,16.05
Gyoer,47.687281,17.637616
