id;label;type
braunschweig-wolfenbuettel_anton_ulrich;braunschweig-wolfenbuettel_anton_ulrich;person
braunschweig-wolfenbuettel_anton_ulrich;braunschweig-wolfenbuettel_anton_ulrich;person
heron_charles-francois;heron_charles-francois;person
braunschweig-wolfenbuettel_anton_ulrich;braunschweig-wolfenbuettel_anton_ulrich;person
braunschweig-wolfenbuettel_ludwig_rudolph;braunschweig-wolfenbuettel_ludwig_rudolph;person
cramm_anon_1;cramm_anon_1;person
post_dorothea_elisabeth;post_dorothea_elisabeth;person
heron_charles-francois;heron_charles-francois;person
caradas_anon_1;caradas_anon_1;person
braunschweig-wolfenbuettel_anton_ulrich;braunschweig-wolfenbuettel_anton_ulrich;person
braunschweig-wolfenbuettel_elisabeth_juliane;braunschweig-wolfenbuettel_elisabeth_juliane;person
oettingen-oettingen_albrecht_ernst_ii;oettingen-oettingen_albrecht_ernst_ii;person
braunschweig-wolfenbuettel_anton_ulrich;braunschweig-wolfenbuettel_anton_ulrich;person
braunschweig-wolfenbuettel_sophia_amalia;braunschweig-wolfenbuettel_sophia_amalia;person
heron_charles-francois;heron_charles-francois;person
oettingen-oettingen_albrecht_ernst_ii;oettingen-oettingen_albrecht_ernst_ii;person
heron_charles-francois;heron_charles-francois;person
braunschweig-wolfenbuettel_anton_ulrich;braunschweig-wolfenbuettel_anton_ulrich;person
braunschweig-wolfenbuettel_sophia_amalia;braunschweig-wolfenbuettel_sophia_amalia;person
braunschweig-wolfenbuettel_elisabeth_juliane;braunschweig-wolfenbuettel_elisabeth_juliane;person
braunschweig-wolfenbuettel_anton_ulrich;braunschweig-wolfenbuettel_anton_ulrich;person
post_dorothea_elisabeth;post_dorothea_elisabeth;person
braunschweig-wolfenbuettel_anton_ulrich;braunschweig-wolfenbuettel_anton_ulrich;person
braunschweig-wolfenbuettel_elisabeth_juliane;braunschweig-wolfenbuettel_elisabeth_juliane;person
braunschweig-wolfenbuettel_sophia_amalia;braunschweig-wolfenbuettel_sophia_amalia;person
braunschweig-wolfenbuettel_ludwig_rudolph;braunschweig-wolfenbuettel_ludwig_rudolph;person
steinberg_gertrud_luise;steinberg_gertrud_luise;person
imhoff_sophia_henriette;imhoff_sophia_henriette;person
spoercken_anna_elisabeth;spoercken_anna_elisabeth;person
heron_charles-francois;heron_charles-francois;person
caradas_anon_1;caradas_anon_1;person
spoercken_georg_friedrich;spoercken_georg_friedrich;person
imhoff_rudolph_christian;imhoff_rudolph_christian;person
braunschweig-wolfenbuettel_sophia_amalia;braunschweig-wolfenbuettel_sophia_amalia;person
braunschweig-wolfenbuettel_august_wilhelm;braunschweig-wolfenbuettel_august_wilhelm;person
braunschweig-wolfenbuettel-bevern_august_ferdinand;braunschweig-wolfenbuettel-bevern_august_ferdinand;person
braunschweig-wolfenbuettel_august_wilhelm;braunschweig-wolfenbuettel_august_wilhelm;person
braunschweig-wolfenbuettel_sophia_amalia;braunschweig-wolfenbuettel_sophia_amalia;person
braunschweig-wolfenbuettel_anton_ulrich;braunschweig-wolfenbuettel_anton_ulrich;person
braunschweig-wolfenbuettel_elisabeth_juliane;braunschweig-wolfenbuettel_elisabeth_juliane;person
braunschweig-wolfenbuettel_elisabeth_juliane;braunschweig-wolfenbuettel_elisabeth_juliane;person
braunschweig-wolfenbuettel-bevern_august_ferdinand;braunschweig-wolfenbuettel-bevern_august_ferdinand;person
urbich_johann_christoph;urbich_johann_christoph;person
urbig_johann_christoph;urbig_johann_christoph;person
heron_charles-francois;heron_charles-francois;person
imhoff_rudolph_christian;imhoff_rudolph_christian;person
cronegg_anon_1;cronegg_anon_1;person
;;person
braunschweig-wolfenbuettel_anton_ulrich;braunschweig-wolfenbuettel_anton_ulrich;person
heron_charles-francois;heron_charles-francois;person
post_christian_ludwig;post_christian_ludwig;person
post_christian_ludwig;post_christian_ludwig;person
braunschweig-wolfenbuettel-bevern_august_ferdinand;braunschweig-wolfenbuettel-bevern_august_ferdinand;person
braunschweig-wolfenbuettel_anton_ulrich;braunschweig-wolfenbuettel_anton_ulrich;person
