source;target;manuscript
braunschweig-wolfenbuettel_ludwig_rudolph;1698-09-06;Cod. Guelf. 211.1 Extrav.
braunschweig-wolfenbuettel_anton_ulrich;1698-09-07;Cod. Guelf. 211.1 Extrav.
braunschweig-wolfenbuettel_sophia_amalia;1698-09-07;Cod. Guelf. 211.1 Extrav.
braunschweig-wolfenbuettel_august_wilhelm;1698-09-09;Cod. Guelf. 211.1 Extrav.
braunschweig-wolfenbuettel_sophia_amalia;1698-09-09;Cod. Guelf. 211.1 Extrav.
schack_christian;1698-09-09;Cod. Guelf. 211.1 Extrav.
spoercken_georg_friedrich;1698-09-09;Cod. Guelf. 211.1 Extrav.
braunschweig-wolfenbuettel_august_wilhelm;1698-09-09;Cod. Guelf. 211.1 Extrav.
braunschweig-wolfenbuettel_ludwig_rudolph;1698-09-09;Cod. Guelf. 211.1 Extrav.
oettingen-oettingen_albrecht_ernst_ii;1698-09-09;Cod. Guelf. 211.1 Extrav.
oettingen-oettingen_albrecht_ernst_ii;1698-09-10;Cod. Guelf. 211.1 Extrav.
braunschweig-wolfenbuettel_anton_ulrich;1698-09-10;Cod. Guelf. 211.1 Extrav.
braunschweig-wolfenbuettel_elisabeth_juliane;1698-09-10;Cod. Guelf. 211.1 Extrav.
wuerttemberg-neuenstadt_karl_rudolph;1698-09-10;Cod. Guelf. 211.1 Extrav.
braunschweig-wolfenbuettel_anton_ulrich;1698-09-11;Cod. Guelf. 211.1 Extrav.
braunschweig-wolfenbuettel_anton_ulrich;1698-09-12;Cod. Guelf. 211.1 Extrav.
braunschweig-wolfenbuettel_elisabeth_juliane;1698-09-12;Cod. Guelf. 211.1 Extrav.
braunschweig-wolfenbuettel_ludwig_rudolph;1698-09-12;Cod. Guelf. 211.1 Extrav.
braunschweig-wolfenbuettel_anton_ulrich;1698-09-13;Cod. Guelf. 211.1 Extrav.
steinberg_friedrich;1698-09-13;Cod. Guelf. 211.1 Extrav.
braunschweig-wolfenbuettel_elisabeth_juliane;1698-09-13;Cod. Guelf. 211.1 Extrav.
wuerttemberg-neuenstadt_karl_rudolph;1698-09-13;Cod. Guelf. 211.1 Extrav.
braunschweig-wolfenbuettel_anton_ulrich;1698-09-14;Cod. Guelf. 211.1 Extrav.
braunschweig-wolfenbuettel_ludwig_rudolph;1698-09-15;Cod. Guelf. 211.1 Extrav.
braunschweig-wolfenbuettel_august_wilhelm;1698-09-16;Cod. Guelf. 211.1 Extrav.
braunschweig-wolfenbuettel_sophia_amalia;1698-09-16;Cod. Guelf. 211.1 Extrav.
braunschweig-wolfenbuettel_sophia_amalia;1698-09-16;Cod. Guelf. 211.1 Extrav.
braunschweig-wolfenbuettel_ludwig_rudolph;1698-09-17;Cod. Guelf. 211.1 Extrav.
braunschweig-wolfenbuettel_ludwig_rudolph;1698-09-18;Cod. Guelf. 211.1 Extrav.
braunschweig-wolfenbuettel_august_wilhelm;1698-09-18;Cod. Guelf. 211.1 Extrav.
braunschweig-wolfenbuettel_sophia_amalia;1698-09-18;Cod. Guelf. 211.1 Extrav.
imhoff_sophia_henriette;1698-09-18;Cod. Guelf. 211.1 Extrav.
post_dorothea_elisabeth;1698-09-18;Cod. Guelf. 211.1 Extrav.
braunschweig-wolfenbuettel_sophia_amalia;1698-09-18;Cod. Guelf. 211.1 Extrav.
cramm_anon_1;1698-09-18;Cod. Guelf. 211.1 Extrav.
braunschweig-wolfenbuettel_august_wilhelm;1698-09-19;Cod. Guelf. 211.1 Extrav.
braunschweig-wolfenbuettel_sophia_amalia;1698-09-19;Cod. Guelf. 211.1 Extrav.
medici_gian_gastone;1698-09-20;Cod. Guelf. 211.1 Extrav.
braunschweig-wolfenbuettel_anton_ulrich;1698-09-20;Cod. Guelf. 211.1 Extrav.
heron_charles-francois;1698-09-22;Cod. Guelf. 211.1 Extrav.
braunschweig-wolfenbuettel_anton_ulrich;1698-09-22;Cod. Guelf. 211.1 Extrav.
braunschweig-wolfenbuettel_elisabeth_juliane;1698-09-22;Cod. Guelf. 211.1 Extrav.
heron_charles-francois;1698-09-23;Cod. Guelf. 211.1 Extrav.
braunschweig-wolfenbuettel_ludwig_rudolph;1698-09-23;Cod. Guelf. 211.1 Extrav.
braunschweig-wolfenbuettel_ludwig_rudolph;1698-09-24;Cod. Guelf. 211.1 Extrav.
wuerttemberg-neuenstadt_karl_rudolph;1698-09-24;Cod. Guelf. 211.1 Extrav.
medici_gian_gastone;1698-09-25;Cod. Guelf. 211.1 Extrav.
wuerttemberg-neuenstadt_karl_rudolph;1698-09-25;Cod. Guelf. 211.1 Extrav.
medici_gian_gastone;1698-09-26;Cod. Guelf. 211.1 Extrav.
braunschweig-wolfenbuettel_anton_ulrich;1698-09-26;Cod. Guelf. 211.1 Extrav.
wuerttemberg-neuenstadt_karl_rudolph;1698-09-26;Cod. Guelf. 211.1 Extrav.
braunschweig-wolfenbuettel_elisabeth_juliane;1698-09-26;Cod. Guelf. 211.1 Extrav.
braunschweig-wolfenbuettel_august_wilhelm;1698-09-28;Cod. Guelf. 211.1 Extrav.
braunschweig-wolfenbuettel_ludwig_rudolph;1698-09-28;Cod. Guelf. 211.1 Extrav.
braunschweig-wolfenbuettel_elisabeth_juliane;1698-09-29;Cod. Guelf. 211.1 Extrav.
braunschweig-wolfenbuettel_sophia_amalia;1698-09-29;Cod. Guelf. 211.1 Extrav.
braunschweig-wolfenbuettel_ludwig_rudolph;1698-09-29;Cod. Guelf. 211.1 Extrav.
post_dorothea_elisabeth;1698-09-29;Cod. Guelf. 211.1 Extrav.
braunschweig-wolfenbuettel_anton_ulrich;1698-10-01;Cod. Guelf. 211.1 Extrav.
braunschweig-wolfenbuettel_elisabeth_juliane;1698-10-01;Cod. Guelf. 211.1 Extrav.
braunschweig-wolfenbuettel_anton_ulrich;1698-10-02;Cod. Guelf. 211.1 Extrav.
braunschweig-wolfenbuettel_sophia_amalia;1698-10-02;Cod. Guelf. 211.1 Extrav.
heron_charles-francois;1698-10-02;Cod. Guelf. 211.1 Extrav.
steinberg_friedrich;1698-10-03;Cod. Guelf. 211.1 Extrav.
bennigsen_levin_adolf;1698-10-04;Cod. Guelf. 211.1 Extrav.
bennigsen_magdalena_agnes;1698-10-04;Cod. Guelf. 211.1 Extrav.
braunschweig-wolfenbuettel_sophia_amalia;1698-10-06;Cod. Guelf. 211.1 Extrav.
braunschweig-wolfenbuettel_august_wilhelm;1698-10-06;Cod. Guelf. 211.1 Extrav.
braunschweig-wolfenbuettel_elisabeth_juliane;1698-10-06;Cod. Guelf. 211.1 Extrav.
braunschweig-wolfenbuettel_sophia_amalia;1698-10-06;Cod. Guelf. 211.1 Extrav.
imhoff_rudolph_christian;1698-10-06;Cod. Guelf. 211.1 Extrav.
braunschweig-wolfenbuettel_anton_ulrich;1698-10-07;Cod. Guelf. 211.1 Extrav.
braunschweig-wolfenbuettel_elisabeth_juliane;1698-10-07;Cod. Guelf. 211.1 Extrav.
braunschweig-wolfenbuettel_anton_ulrich;1698-10-07;Cod. Guelf. 211.1 Extrav.
braunschweig-wolfenbuettel_anton_ulrich;1698-10-10;Cod. Guelf. 211.1 Extrav.
heron_charles-francois;1698-10-12;Cod. Guelf. 211.1 Extrav.
braunschweig-wolfenbuettel_anton_ulrich;1698-10-12;Cod. Guelf. 211.1 Extrav.
braunschweig-wolfenbuettel_ludwig_rudolph;1698-10-12;Cod. Guelf. 211.1 Extrav.
cramm_anon_1;1698-10-12;Cod. Guelf. 211.1 Extrav.
post_dorothea_elisabeth;1698-10-12;Cod. Guelf. 211.1 Extrav.
heron_charles-francois;1698-10-12;Cod. Guelf. 211.1 Extrav.
caradas_anon_1;1698-10-12;Cod. Guelf. 211.1 Extrav.
braunschweig-wolfenbuettel_anton_ulrich;1698-10-15;Cod. Guelf. 211.1 Extrav.
braunschweig-wolfenbuettel_elisabeth_juliane;1698-10-15;Cod. Guelf. 211.1 Extrav.
oettingen-oettingen_albrecht_ernst_ii;1698-10-15;Cod. Guelf. 211.1 Extrav.
