source;target
lippe-brake_georg;1701-05-04
bonnac_jean_louis;1701-05-04
bernstorff_hans_valentin;1701-05-04
probst_philipp_ludwig;1701-05-04
heringen_georg_albrecht;1701-05-04
goes_ernst;1701-05-07
castell-remlingen_leopold_friedrich_ernst;1701-05-07
prigge_hans_georg;1701-05-09
rockhausen_georg_friedrich;1701-05-09
rappach_karl_ernst;1701-05-10
braunschweig-wolfenbuettel-bevern_august_ferdinand;1701-05-10
braunschweig-wolfenbuettel_christine_luise;1701-05-10
braunschweig-wolfenbuettel_elisabeth_juliane;1701-05-10
braunschweig-wolfenbuettel_anton_ulrich;1701-05-10
muenchhausen_hans_heinrich;1701-05-10
braunschweig-wolfenbuettel_sophia_amalia;1701-05-03
braunschweig-wolfenbuettel_august_wilhelm;1701-05-03
bose_christoph_dietrich_d_ae;1701-05-03
braunschweig-wolfenbuettel_christine_luise;1701-05-06
kaiserin_elisabeth_christine;1701-05-06
braunschweig-wolfenbuettel-bevern_august_ferdinand;1701-05-06
braunschweig-wolfenbuettel-bevern_ferdinand_christian;1701-05-06
sachsen-meiningen_eleonora_friederike;1701-05-06
braunschweig-wolfenbuettel_elisabeth_sophia_maria;1701-05-06
schleswig-holstein-sonderburg-norburg_ernst_leopold;1701-05-06
imhoff_anton_albrecht;1701-05-05
meves_hans;1701-05-06
oettingen-oettingen_albrecht_ernst_ii;1701-05-06
braunschweig-wolfenbuettel_anton_ulrich;1701-05-07
braunschweig-wolfenbuettel_elisabeth_juliane;1701-05-07
kaiser_leopold_i;1701-05-07
rappach_karl_ernst;1701-05-07
meer_aelbert;1701-05-11
meer_frans;1701-05-11
braunschweig-wolfenbuettel-bevern_august_ferdinand;1701-05-11
braunschweig-wolfenbuettel_christine_luise;1701-05-11
rockhausen_georg_friedrich;1701-05-12
oppel_moritz_friedrich;1701-05-12
braunschweig-wolfenbuettel_anton_ulrich;1701-05-13
lippe-brake_georg;1701-05-13
erich_eberhard;1701-05-14
dommes_daniel;1701-05-11
erich_eberhard;1701-05-11
braunschweig-wolfenbuettel_christine_luise;1701-05-11
freytag_gottfried;1701-05-06
egeling_anon_1;1701-05-06
streithorst_franz_christoph_ernst;1701-05-07
luppels_bernhard_daniel;1701-05-14
hasenbein_ernst_wilhelm;1701-05-14
braunschweig-wolfenbuettel_august_wilhelm;1701-05-14
daenemark_friedrich_iv;1701-05-14
braunschweig-wolfenbuettel_christine_luise;1701-05-14
lenthe_konrad_ludwig;1701-05-14
schulenburg_matthias_johann;1701-05-14
kern_david_heinrich;1701-05-14
klengel_hans_caspar;1701-05-14
lenthe_konrad_ludwig;1701-05-14
castell-remlingen_leopold_friedrich_ernst;1701-05-14
bonnac_jean_louis;1701-05-14
hagen_busso;1701-05-14
tuerck_anton_julius;1701-05-14
braunschweig-wolfenbuettel_rudolph_august;1701-05-14
voelckening_jobst_eberhard;1701-05-14
braunschweig-wolfenbuettel_ferdinand_albrecht_ii;1701-05-14
heringen_georg_albrecht;1701-05-14
meer_aelbert;1701-05-15
braunschweig-wolfenbuettel_anton_ulrich;1701-05-15
braunschweig-wolfenbuettel_elisabeth_juliane;1701-05-15
braunschweig-wolfenbuettel_christine_luise;1701-05-15
sachsen-meiningen_eleonora_friederike;1701-05-15
braunschweig-wolfenbuettel_elisabeth_sophia_maria;1701-05-15
kaiserin_elisabeth_christine;1701-05-15
braunschweig-wolfenbuettel-bevern_august_ferdinand;1701-05-15
rappach_karl_ernst;1701-05-15
usson_jean;1701-05-15
mencke_otto;1701-05-15
reuss_heinrich_xxvii;1701-05-15
wartensleben_simon_elmershausen;1701-05-13
wartensleben_alexander_hermann;1701-05-13
campen_bernhard_adolph;1701-05-16
balcke_henning;1701-05-16
braunschweig-wolfenbuettel_christine_luise;1701-05-16
balcke_henning;1701-05-18
braunschweig-wolfenbuettel_elisabeth_juliane;1701-05-18
braunschweig-wolfenbuettel_christine_luise;1701-05-18
schleswig-holstein-sonderburg-ploen_adolf_august;1701-05-18
lippe-brake_ludwig_ferdinand;1701-05-18
oettingen-wallerstein_wolfgang_iv;1701-05-18
busch_bodo_heinrich;1701-05-18
bernstorff_hans_valentin;1701-05-18
knorr-rosenroth_johann_christian;1701-05-18
braunschweig-wolfenbuettel_anton_ulrich;1701-05-18
meer_aelbert;1701-05-18
savoyen_luisa_adelaide;1701-05-18
meer_aelbert;1701-05-18
brion_abel_armand;1701-05-19
oppel_moritz_friedrich;1701-05-19
campen_bernhard_adolph;1701-05-20
prigge_hans_georg;1701-05-20
castell-remlingen_leopold_friedrich_ernst;1701-05-20
schleswig-holstein-sonderburg-ploen_adolf_august;1701-05-20
braunschweig-wolfenbuettel-bevern_august_ferdinand;1701-05-20
schleswig-holstein-sonderburg-ploen_adolf_august;1701-05-20
oppel_moritz_friedrich;1701-05-20
brion_abel_armand;1701-05-20
knorr-rosenroth_johann_christian;1701-05-20
schleswig-holstein-sonderburg-ploen_adolf_august;1701-05-21
braunschweig-wolfenbuettel-bevern_august_ferdinand;1701-05-21
lippe-brake_georg;1701-05-21
braunschweig-wolfenbuettel_anton_ulrich;1701-05-21
braunschweig-wolfenbuettel_elisabeth_juliane;1701-05-21
schleswig-holstein-sonderburg-ploen_adolf_august;1701-05-22
braunschweig-wolfenbuettel_christine_luise;1701-05-22
sachsen-meiningen_eleonora_friederike;1701-05-22
braunschweig-wolfenbuettel_elisabeth_sophia_maria;1701-05-22
braunschweig-wolfenbuettel-bevern_august_ferdinand;1701-05-22
lippe-brake_ludwig_ferdinand;1701-05-22
braunschweig-wolfenbuettel_anton_ulrich;1701-05-22
imhoff_wilhelm_heinrich;1701-05-22
brandenburg_friedrich_iii;1701-05-22
schleswig-holstein-sonderburg-ploen_adolf_august;1701-05-23
rappach_karl_ernst;1701-05-23
meer_aelbert;1701-05-23
braunschweig-wolfenbuettel_elisabeth_sophia_maria;1701-05-24
braunschweig-wolfenbuettel_christine_luise;1701-05-25
sachsen-meiningen_eleonora_friederike;1701-05-25
braunschweig-wolfenbuettel_elisabeth_sophia_maria;1701-05-25
stoeckheim_anna_sophia;1701-05-25
schleswig-holstein-sonderburg-ploen_adolf_august;1701-05-25
braunschweig-wolfenbuettel-bevern_august_ferdinand;1701-05-25
lippe-brake_ludwig_ferdinand;1701-05-25
haubitzen_anon_1;1701-05-25
cramm_johann_ludwig;1701-05-25
schleswig-holstein-sonderburg-ploen_adolf_august;1701-05-26
lippe-brake_ludwig_ferdinand;1701-05-26
braunschweig-wolfenbuettel_christine_luise;1701-05-26
braunschweig-wolfenbuettel-bevern_august_ferdinand;1701-05-26
braunschweig-wolfenbuettel_elisabeth_juliane;1701-05-26
braunschweig-wolfenbuettel_christine_luise;1701-05-27
sachsen-meiningen_eleonora_friederike;1701-05-27
braunschweig-wolfenbuettel_elisabeth_sophia_maria;1701-05-27
braunschweig-wolfenbuettel-bevern_august_ferdinand;1701-05-27
schleswig-holstein-sonderburg-ploen_adolf_august;1701-05-27
lippe-brake_ludwig_ferdinand;1701-05-27
braunschweig-wolfenbuettel_anton_ulrich;1701-05-27
braunschweig-wolfenbuettel_elisabeth_juliane;1701-05-27
klengel_hans_caspar;1701-05-27
polen_august_ii;1701-05-27
braunschweig-wolfenbuettel_anton_ulrich;1701-05-27
schleswig-holstein-sonderburg-ploen_adolf_august;1701-05-28
braunschweig-wolfenbuettel_christine_luise;1701-05-28
sachsen-meiningen_eleonora_friederike;1701-05-28
braunschweig-wolfenbuettel_elisabeth_sophia_maria;1701-05-28
braunschweig-wolfenbuettel-bevern_august_ferdinand;1701-05-28
lippe-brake_ludwig_ferdinand;1701-05-28
stoeckheim_anna_sophia;1701-05-28
braunschweig-wolfenbuettel_anton_ulrich;1701-05-29
schleswig-holstein-sonderburg-ploen_adolf_august;1701-05-29
lippe-brake_ludwig_ferdinand;1701-05-29
braunschweig-wolfenbuettel_christine_luise;1701-05-30
braunschweig-wolfenbuettel-bevern_august_ferdinand;1701-05-30
cramm_anon_1;1701-05-30
cramm_johann_ludwig;1701-05-30
stoeckheim_anna_sophia;1701-05-30
campen_bernhard_adolph;1701-05-30
klengel_hans_caspar;1701-05-30
lenthe_konrad_ludwig;1701-05-30
schleswig-holstein-sonderburg-ploen_adolf_august;1701-05-31
lippe-brake_ludwig_ferdinand;1701-05-31
braunschweig-wolfenbuettel_anton_ulrich;1701-05-31
braunschweig-wolfenbuettel-bevern_august_ferdinand;1701-05-31
campen_bernhard_adolph;1701-05-31
braunschweig-wolfenbuettel_christine_luise;1701-05-31
sachsen-meiningen_eleonora_friederike;1701-05-31
braunschweig-wolfenbuettel_elisabeth_sophia_maria;1701-05-31
schleswig-holstein-sonderburg-ploen_adolf_august;1701-06-01
lippe-brake_ludwig_ferdinand;1701-06-01
braunschweig-wolfenbuettel_christine_luise;1701-06-01
braunschweig-wolfenbuettel-bevern_august_ferdinand;1701-06-01
schleswig-holstein-sonderburg-ploen_adolf_august;1701-06-02
braunschweig-wolfenbuettel-bevern_august_ferdinand;1701-06-02
braunschweig-wolfenbuettel_christine_luise;1701-06-03
braunschweig-wolfenbuettel-bevern_august_ferdinand;1701-06-03
schleswig-holstein-sonderburg-norburg_ernst_leopold;1701-06-03
braunschweig-wolfenbuettel_christine_luise;1701-06-04
braunschweig-wolfenbuettel_elisabeth_juliane;1701-06-04
braunschweig-wolfenbuettel_christine_luise;1701-06-05
braunschweig-wolfenbuettel-bevern_august_ferdinand;1701-06-05
braunschweig-wolfenbuettel_anton_ulrich;1701-06-06
braunschweig-wolfenbuettel_christine_luise;1701-06-06
braunschweig-wolfenbuettel-bevern_august_ferdinand;1701-06-06
erich_eberhard;1701-06-06
braunschweig-wolfenbuettel_christine_luise;1701-06-07
kueckelhan_hedwig_elisabeth;1701-06-07
achilles_anon_1;1701-06-07
kueckelhan_julius;1701-06-07
braunschweig-wolfenbuettel_anton_ulrich;1701-06-07
bobart_daniel_arnold;1701-06-07
braunschweig-wolfenbuettel_christine_luise;1701-06-08
braunschweig-wolfenbuettel-bevern_august_ferdinand;1701-06-08
barner_rudolph_august;1701-06-08
kragen_christoph_julius;1701-06-08
l_avanturier_anon;1701-06-07
braunschweig-wolfenbuettel-bevern_august_ferdinand;1701-06-09
campen_bernhard_adolph;1701-06-09
braunschweig-wolfenbuettel_christine_luise;1701-06-09
braunschweig-wolfenbuettel-bevern_august_ferdinand;1701-06-09
brion_abel_armand;1701-06-10
braunschweig-wolfenbuettel_christine_luise;1701-06-12
braunschweig-wolfenbuettel-bevern_august_ferdinand;1701-06-12
braunschweig-wolfenbuettel_august_wilhelm;1701-06-13
braunschweig-wolfenbuettel_sophia_amalia;1701-06-13
frankreich_ludwig_xiv;1701-06-13
imhoff_anton_albrecht;1701-06-13
braunschweig-wolfenbuettel_christine_luise;1701-06-14
braunschweig-wolfenbuettel-bevern_august_ferdinand;1701-06-14
cramm_eleonore_elisabeth;1701-06-14
campen_bernhard_adolph;1701-06-14
braunschweig-wolfenbuettel_christine_luise;1701-06-16
braunschweig-wolfenbuettel-bevern_august_ferdinand;1701-06-16
bobart_daniel_arnold;1701-06-16
stoeckheim_anna_sophia;1701-06-16
campen_bernhard_adolph;1701-06-16
braunschweig-wolfenbuettel_christine_luise;1701-06-17
braunschweig-wolfenbuettel-bevern_august_ferdinand;1701-06-17
braunschweig-wolfenbuettel_christine_luise;1701-06-19
braunschweig-wolfenbuettel_august_wilhelm;1701-06-19
braunschweig-wolfenbuettel_sophia_amalia;1701-06-19
braunschweig-wolfenbuettel-bevern_august_ferdinand;1701-06-19
braunschweig-wolfenbuettel_christine_luise;1701-06-20
braunschweig-wolfenbuettel-bevern_august_ferdinand;1701-06-20
braunschweig-wolfenbuettel_august_wilhelm;1701-06-21
braunschweig-wolfenbuettel_sophia_amalia;1701-06-21
sachsen-meiningen_eleonora_friederike;1701-06-21
braunschweig-wolfenbuettel_elisabeth_sophia_maria;1701-06-21
braunschweig-wolfenbuettel_christine_luise;1701-06-21
braunschweig-wolfenbuettel-bevern_august_ferdinand;1701-06-21
probst_maria_elisabeth;1701-06-21
bonnac_jean_louis;1701-06-21
steinberg_friedrich;1701-06-21
cramm_johann_ludwig;1701-06-21
schack_christian;1701-06-23
braunschweig-wolfenbuettel_august_wilhelm;1701-06-23
braunschweig-wolfenbuettel_anton_ulrich;1701-06-23
braunschweig-wolfenbuettel_sophia_amalia;1701-06-23
braunschweig-wolfenbuettel_christine_luise;1701-06-23
braunschweig-wolfenbuettel-bevern_august_ferdinand;1701-06-23
imhoff_sophia_henriette;1701-06-23
imhoff_anton_albrecht;1701-06-23
bennigsen_magdalena_agnes;1701-06-23
bennigsen_levin_adolf;1701-06-23
probst_philipp_ludwig;1701-06-23
steinberg_friedrich;1701-06-23
bernstorff_hans_valentin;1701-06-23
walther_friedrich_hans;1701-06-23
orleans_philippe;1701-06-23
frankreich_ludwig_xiv;1701-06-23
braunschweig-wolfenbuettel-bevern_august_ferdinand;1701-06-23
braunschweig-wolfenbuettel_christine_luise;1701-06-24
braunschweig-wolfenbuettel-bevern_august_ferdinand;1701-06-24
felden_florenz;1701-06-25
felden_florenz;1701-06-26
specht_christian;1701-06-26
braunschweig-wolfenbuettel_anton_ulrich;1701-06-26
braunschweig-wolfenbuettel_elisabeth_juliane;1701-06-26
koetzler_familie;1701-06-26
koetzler_florentina;1701-06-26
koetzler_maria_eleonora;1701-06-26
praetorius_samuel_rudolph;1701-06-26
probst_philipp_ludwig;1701-06-26
specht_christian;1701-06-26
koetzler_florentina;1701-06-26
kaiserin_elisabeth_christine;1701-06-26
braunschweig-wolfenbuettel_antoinette_amalia;1701-06-26
kragen_mette_katharina;1701-06-26
braunschweig-wolfenbuettel_anton_ulrich;1701-06-26
praetorius_samuel_rudolph;1701-06-26
braunschweig-wolfenbuettel_christine_luise;1701-06-28
braunschweig-wolfenbuettel-bevern_august_ferdinand;1701-06-28
braunschweig-wolfenbuettel_anton_ulrich;1701-06-29
felden_florenz;1701-06-29
braunschweig-wolfenbuettel_august_wilhelm;1701-06-29
braunschweig-wolfenbuettel-bevern_august_ferdinand;1701-06-29
becker_anon_1;1701-06-29
hessen-homburg_friedrich_ii;1701-06-29
hessen-homburg_sophia_sibylla;1701-06-29
hessen-homburg_ludwig_georg;1701-06-29
