source,target,edgetype
https://d-nb.info/gnd/12431497X,https://d-nb.info/gnd/115865497,Elternteil von
https://d-nb.info/gnd/130816833,https://d-nb.info/gnd/115865497,Elternteil von
https://d-nb.info/gnd/115865497,https://d-nb.info/gnd/103125140,Elternteil von
https://d-nb.info/gnd/115865497,https://d-nb.info/gnd/104275987,Elternteil von
https://d-nb.info/gnd/115865497,https://d-nb.info/gnd/122076338,Elternteil von
https://d-nb.info/gnd/115865497,https://d-nb.info/gnd/107484897,Elternteil von
https://d-nb.info/gnd/100455840,http://d-nb.info/gnd/1097401162,Elternteil von
http://d-nb.info/gnd/1097401162,https://d-nb.info/gnd/11695499X,verheiratet mit
https://d-nb.info/gnd/137046219,http://d-nb.info/gnd/139870784,Elternteil von
https://d-nb.info/gnd/115865497,http://d-nb.info/gnd/139870784,Elternteil von
http://d-nb.info/gnd/139870784,https://d-nb.info/gnd/130411698,verheiratet mit
https://d-nb.info/gnd/118571869,http://d-nb.info/gnd/118558390,Elternteil von
https://d-nb.info/gnd/101026641,http://d-nb.info/gnd/118558390,Elternteil von
http://d-nb.info/gnd/118558390,https://d-nb.info/gnd/101076983,verheiratet mit
http://d-nb.info/gnd/118558390,https://d-nb.info/gnd/11917426X,Elternteil von
http://d-nb.info/gnd/118558390,https://d-nb.info/gnd/11949213X,Elternteil von
https://d-nb.info/gnd/118571869,http://d-nb.info/gnd/118560107,Elternteil von
https://d-nb.info/gnd/101026641,http://d-nb.info/gnd/118560107,Elternteil von
http://d-nb.info/gnd/118560107,https://d-nb.info/gnd/122035143,verheiratet mit
http://d-nb.info/gnd/118560107,https://d-nb.info/gnd/12065685X,Elternteil von
http://d-nb.info/gnd/118560107,https://d-nb.info/gnd/118577867,Elternteil von
http://d-nb.info/gnd/118560107,https://d-nb.info/gnd/137351771,Elternteil von
http://d-nb.info/gnd/118560107,https://d-nb.info/gnd/1026230187,Elternteil von
https://d-nb.info/gnd/118571869,https://d-nb.info/gnd/118558390,Elternteil von
https://d-nb.info/gnd/118571869,https://d-nb.info/gnd/118560107,Elternteil von
https://d-nb.info/gnd/118571869,https://d-nb.info/gnd/118927426,Elternteil von
https://d-nb.info/gnd/118571869,https://d-nb.info/gnd/119360691,Elternteil von
https://d-nb.info/gnd/118571869,https://d-nb.info/gnd/130261033,Elternteil von
https://d-nb.info/gnd/118571869,https://d-nb.info/gnd/1019759852,Elternteil von
https://d-nb.info/gnd/118742221,https://d-nb.info/gnd/101026641,Elternteil von
https://d-nb.info/gnd/101026641,https://d-nb.info/gnd/118558390,Elternteil von
https://d-nb.info/gnd/101026641,https://d-nb.info/gnd/118927426,Elternteil von
https://d-nb.info/gnd/101026641,https://d-nb.info/gnd/119360691,Elternteil von
https://d-nb.info/gnd/101026641,https://d-nb.info/gnd/130261033,Elternteil von
https://d-nb.info/gnd/101026641,https://d-nb.info/gnd/118560107,Elternteil von
https://d-nb.info/gnd/101026641,https://d-nb.info/gnd/1019759852,Elternteil von
https://d-nb.info/gnd/124700470,https://d-nb.info/gnd/122035143,Elternteil von
https://d-nb.info/gnd/119157411,https://d-nb.info/gnd/122035143,Elternteil von
