id;label
https://d-nb.info/gnd/100455840;Ernst Ludwig, Hessen-Darmstadt, Landgraf
https://d-nb.info/gnd/130470988;Dorothee Charlotte, Hessen-Darmstadt, Landgräfin
http://d-nb.info/gnd/1089498950;Hessen-Darmstadt, Heinrich, Landgraf von
https://d-nb.info/gnd/118535676;Hessen-Homburg, Friedrich II., Landgraf von
https://d-nb.info/gnd/128877111;Friedrich Jacob, Hessen-Homburg, Landgraf
https://d-nb.info/gnd/1052840728;Casimir Wilhelm, Hessen-Homburg, Prinz
https://d-nb.info/gnd/118535803;Hessen-Kassel, Friedrich, Landgraf von
https://d-nb.info/gnd/118560050;Karl, Hessen-Kassel, Landgraf
https://d-nb.info/gnd/101102917;Marie Amelie, Hessen-Kassel, Landgräfin
https://d-nb.info/gnd/102489238;Hessenstein, Friedrich Wilhelm von
https://d-nb.info/gnd/137565526;Hessenstein, Carl von
https://d-nb.info/gnd/118560050;Hessen-Kassel, Karl, Landgraf von
https://d-nb.info/gnd/102035229;Wilhelm VI., Hessen-Kassel, Landgraf
https://d-nb.info/gnd/101102917;Marie Amelie, Hessen-Kassel, Landgräfin
https://d-nb.info/gnd/118535803;Friedrich I., Schweden, König
https://d-nb.info/gnd/1052709583;Sophie Charlotte, Mecklenburg-Schwerin, Herzogin
https://d-nb.info/gnd/118632914;Wilhelm VIII., Hessen-Kassel, Landgraf
https://d-nb.info/gnd/1024253732;Marie Luise, Nassau-Diez, Fürstin
https://d-nb.info/gnd/137327617;Maximilian, Hessen-Kassel, Landgraf
https://d-nb.info/gnd/1029095175;Georg, Hessen-Kassel, Prinz
https://d-nb.info/gnd/137844743;Hessen-Philippsthal, Karl, Landgraf von
https://d-nb.info/gnd/102614156;Charlotte Amalie, Sachsen-Meiningen, Herzogin
http://d-nb.info/gnd/122076338;Hohenlohe-Kirchberg, Friedrich Eberhard, Graf zu
https://d-nb.info/gnd/115865497;Heinrich Friedrich, Hohenlohe-Langenburg, Graf
https://d-nb.info/gnd/141383623;Augusta Sophia, Hohenlohe, Gräfin
https://d-nb.info/gnd/103125140;Hohenlohe-Langenburg, Albrecht Wolfgang, Graf zu
https://d-nb.info/gnd/115865497;Heinrich Friedrich, Hohenlohe-Langenburg, Graf
https://d-nb.info/gnd/101085052;Ludwig, Hohenlohe-Langenburg, Fürst
https://d-nb.info/gnd/115865497;Hohenlohe-Langenburg, Heinrich Friedrich, Graf zu
https://d-nb.info/gnd/12431497X;Hohenlohe-Langenburg, Philipp Ernst von
https://d-nb.info/gnd/130816833;Hohenlohe-Langenburg, Anna Marie von
https://d-nb.info/gnd/103125140;Albrecht Wolfgang, Hohenlohe-Langenburg, Graf
https://d-nb.info/gnd/104275987;Hohenlohe-Gleichen, Christian Kraft von
https://d-nb.info/gnd/122076338;Friedrich Eberhard, Hohenlohe-Kirchberg, Graf
https://d-nb.info/gnd/107484897;Johanna Sofie, Schaumburg-Lippe, Gräfin
http://d-nb.info/gnd/1097401162;Hohenlohe-Öhringen, Dorothea Sophia, Gräfin zu, geb. Landgräfin von Hessen-Darmstadt
https://d-nb.info/gnd/100455840;Ernst Ludwig, Hessen-Darmstadt, Landgraf
https://d-nb.info/gnd/11695499X;Johann Friedrich, Hohenlohe-Neuenstein-Oehringen, Fürst
http://d-nb.info/gnd/139870784;Hohenlohe-Waldenburg-Pfedelbach, Luise Charlotte, Gräfin zu, geb. Gräfin zu Hohenlohe-Langenburg
https://d-nb.info/gnd/137046219;Juliana Dorothea, Hohenlohe-Gleichen, Gräfin
https://d-nb.info/gnd/115865497;Heinrich Friedrich, Hohenlohe-Langenburg, Graf
https://d-nb.info/gnd/130411698;Hohenlohe-Pfedelbach, Ludwig Gottfried zu
http://d-nb.info/gnd/139546375;Howe, Emanuel Scrope
http://d-nb.info/gnd/117129690;Imhoff, Anton Albrecht von
http://d-nb.info/gnd/131463896;Imhoff, Rudolph Christian von
http://d-nb.info/gnd/136230547;Imhoff, Wilhelm Heinrich von
http://d-nb.info/gnd/1031988416;Jettebrock (Jettebruch), Georg Ernst von
http://d-nb.info/gnd/118558390;Joseph I., Kaiser (Heiliges Römisches Reich)
https://d-nb.info/gnd/118571869;Leopold I., Heiliges Römisches Reich, Kaiser
https://d-nb.info/gnd/101026641;Eleonore, Heiliges Römisches Reich, Kaiserin
https://d-nb.info/gnd/101076983;Wilhelmine Amalie, Heiliges Römisches Reich, Kaiserin
https://d-nb.info/gnd/11917426X;Maria Josepha, Polen, Königin
https://d-nb.info/gnd/11949213X;Maria Amalia, Heiliges Römisches Reich, Kaiserin
http://d-nb.info/gnd/118814273;Kangxi, Kaiser (China)
http://d-nb.info/gnd/118560107;Karl VI., Kaiser (Heiliges Römisches Reich)
https://d-nb.info/gnd/118571869;Leopold I., Heiliges Römisches Reich, Kaiser
https://d-nb.info/gnd/101026641;Eleonore, Heiliges Römisches Reich, Kaiserin
https://d-nb.info/gnd/122035143;Elisabeth Christine, Heiliges Römisches Reich, Kaiserin
https://d-nb.info/gnd/12065685X;Leopold Johann, Österreich, Erzherzog
https://d-nb.info/gnd/118577867;Maria Theresia, Österreich, Erzherzogin
https://d-nb.info/gnd/137351771;Maria Anna, Österreich, Erzherzogin
https://d-nb.info/gnd/1026230187;Marie Amalia, Österreich, Erzherzogin
https://d-nb.info/gnd/118571869;Leopold I., Kaiser (Heiliges Römisches Reich)
https://d-nb.info/gnd/118558390;Joseph I., Heiliges Römisches Reich, Kaiser
https://d-nb.info/gnd/118560107;Karl VI., Heiliges Römisches Reich, Kaiser
https://d-nb.info/gnd/118927426;Maria Elisabeth, Österreich, Erzherzogin, 1680-1741
https://d-nb.info/gnd/119360691;Maria Anna, Portugal, Königin
https://d-nb.info/gnd/130261033;Maria Theresia, Österreich, Erzherzogin, 1684-1696
https://d-nb.info/gnd/1019759852;Maria Magdalena, Österreich, Erzherzogin
https://d-nb.info/gnd/101026641;Eleonora Magdalena, Kaiserin (Heiliges Römisches Reich), geb. Herzogin und Pfalzgräfin von Pfalz-Neuburg
https://d-nb.info/gnd/118742221;Philipp Wilhelm, Pfalz, Kurfürst
https://d-nb.info/gnd/118558390;Joseph I., Heiliges Römisches Reich, Kaiser
https://d-nb.info/gnd/118927426;Maria Elisabeth, Österreich, Erzherzogin, 1680-1741
https://d-nb.info/gnd/119360691;Maria Anna, Portugal, Königin
https://d-nb.info/gnd/130261033;Maria Theresia, Österreich, Erzherzogin, 1684-1696
https://d-nb.info/gnd/118560107;Karl VI., Heiliges Römisches Reich, Kaiser
https://d-nb.info/gnd/1019759852;Maria Magdalena, Österreich, Erzherzogin
